title,url
CISO MindMap 2022: What do InfoSec Professionals really do?,https://rafeeqrehman.com/2022/04/24/ciso-mindmap-2022-what-do-infosec-professionals-really-do/
Industry Map: Cyber Security,https://atlas.mindmup.com/kinstonian/cybersecurity/index.html
Common Vulnerabilities on Forget Password Functionality,https://xmind.app/m/nZwbdk/
XML Attacks,https://xmind.app/m/xNEY9b/
2FA Bypass Techniques,https://xmind.app/m/8Hkymg/
Android Application Penetration Testing Checklist,https://xmind.app/m/GkgaYH/
Cookie Based Authentication Vulnerabilities,https://xmind.app/m/2FwJ7D/
Scope Based Recon,https://xmind.app/m/hKKexj/
Unauthenticated JIRA CVEs to Exploit,https://xmind.app/m/Jrn7f8/
imran-parray/Mind-Maps: Mind-Maps of Several Things,https://github.com/imran-parray/Mind-Maps
Cybersecurity Domain Map ver 3.0,https://www.linkedin.com/pulse/cybersecurity-domain-map-ver-30-henry-jiang/
Mind Maps,https://www.amanhardikar.com/mindmaps.html
larryboettger/Cybersecurity-Mindmaps: Repository of cybersecurity mindmaps,https://github.com/larryboettger/Cybersecurity-Mindmaps
"Ignitetechnologies/Mindmap: This repository will contain many mindmaps for cyber security technologies, methodologies, courses, and certifications in a tree structure to give brief details about them",https://github.com/Ignitetechnologies/Mindmap
